Spectrum,Simple_Mean_Age,Simple_Mean_StdDev,Bootstrap_Median_Age,Bootstrap_Uncertainty
sn1999dq-19991031.33-fast_corrected_snid,31.02,7.76,29.40,2.58
sn1993ac-19931020.52-mmt_corrected_snid,9.88,1.28,10.05,0.41
sn2002cd-20020419.48-fast_corrected_snid,1.67,2.92,3.20,0.73
sn1999gh-20000110.42-fast_corrected_snid,41.31,6.57,41.73,1.36
sn2007af-20070319.42-fast_corrected_snid,2.68,3.91,3.90,0.46
sn2005cf-20050711.20-fast_corrected_snid,33.05,5.83,31.30,1.17
sn2004L-20040301.31-fast_corrected_snid,14.86,8.64,12.65,1.55
sn2005ke-20051127.27-fast_corrected_snid,6.03,2.50,5.95,0.59
sn2007ci-20070608.18-fast_corrected_snid,29.57,4.90,29.20,1.46
sn2002fb-20021104.41-mmt_corrected_snid,53.63,18.34,60.00,1.38
sn2003du-20030604.35-fast_corrected_snid,29.20,6.96,27.50,2.30
sn2002he-20021104.50-mmt_corrected_snid,-1.43,2.44,-1.30,0.57
sn2001fh-20011118.07-fast_corrected_snid,5.42,2.13,6.30,0.27
sn2003it-20031022.26-fast_corrected_snid,-1.08,2.25,-1.85,0.61
sn1997E-19970302.13-fast_corrected_snid,42.29,3.82,41.35,0.73
sn2003kf-20031225.38-fast_corrected_snid,16.16,2.10,16.10,0.45
sn2004bg-20040420.33-fast_corrected_snid,2.62,3.61,1.55,1.01
sn2004bg-20040417.19-fast_corrected_snid,-0.30,2.58,-0.05,0.63
sn1999gp-20000212.11-fast_corrected_snid,29.64,2.92,29.90,0.77
sn2005M-20050301.32-fast_corrected_snid,23.43,6.97,22.05,0.92
sn2001V-20010329.29-fast_corrected_snid,22.38,3.78,21.45,1.15
sn1994S-19940712.18-fast_corrected_snid,25.21,6.35,25.40,1.96
sn2005hc-20051030.32-fast_corrected_snid,5.32,1.38,4.70,0.48
sn2006X-20060302.47-fast_corrected_snid,9.02,1.10,8.95,0.27
sn1999gd-20000106.44-fast_corrected_snid,26.52,4.49,27.52,1.17
sn2006bw-20060502.31-fast_corrected_snid,4.78,2.27,5.70,0.48
sn2003Y-20030201.33-fast_corrected_snid,0.55,3.80,-1.10,1.30
sn2002bo-20020403.19-fast_corrected_snid,9.32,1.28,9.95,0.37
sn2004gs-20041218.46-fast_corrected_snid,3.52,3.03,4.80,0.52
sn2001cp-20010715.25-fast_corrected_snid,14.95,1.63,14.40,0.33
sn1998eg-19981113.19-fast_corrected_snid,18.68,2.75,18.25,0.64
sn2001gc-20011214.46-fast_corrected_snid,11.52,2.01,11.75,0.42
sn2004ef-20040916.34-fast_corrected_snid,-3.45,4.09,-1.20,0.76
sn1995al-19951114.52-fast_corrected_snid,6.52,1.38,5.90,0.25
sn1999dq-19990906.43-fast_corrected_snid,-7.83,2.31,-7.45,0.54
sn2003hu-20030927.14-fast_corrected_snid,6.90,2.73,6.80,0.56
sn2003cg-20030411.23-fast_corrected_snid,10.04,1.40,10.70,0.34
sn2006cj-20060522.29-fast_corrected_snid,-2.20,3.87,-0.85,0.89
sn1998co-19980624.45-fast_corrected_snid,2.86,1.82,2.30,0.44
sn2005cf-20050629.31-fast_corrected_snid,17.40,2.91,17.65,0.65
sn2006lf-20061226.26-fast_corrected_snid,58.04,4.44,56.75,1.11
sn2002hu-20021108.41-fast_corrected_snid,-4.96,2.68,-4.60,0.81
sn2001ep-20011118.47-fast_corrected_snid,29.07,3.25,28.80,0.74
sn2001da-20010715.47-mmt_corrected_snid,-4.41,3.34,-3.75,0.68
sn2002bo-20020512.17-fast_corrected_snid,52.44,5.98,52.30,1.63
sn2007bc-20070511.18-fast_corrected_snid,28.52,3.51,29.15,0.73
sn2006X-20060303.41-fast_corrected_snid,10.87,1.22,11.00,0.25
sn2007fb-20070716.44-fast_corrected_snid,8.86,1.46,9.20,0.25
sn2005M-20050409.19-fast_corrected_snid,44.40,5.00,44.25,1.47
sn1998eg-19981030.16-fast_corrected_snid,4.16,2.09,4.55,0.59
sn1996C-19960223.44-mmt_corrected_snid,7.42,1.74,7.50,0.63
sn2007af-20070611.20-fast_corrected_snid,82.48,8.26,82.85,2.10
sn2002bf-20020321.22-fast_corrected_snid,13.88,4.46,16.65,1.18
