sn_name,snr,redshift,feature_depth,mean_continuum_noise,adaptive_feature_width_A,min_wavelength_A,spectrum_file
2006gj,16.49,0.02830,2.0143e-16,1.2213e-17,208.7,6282.9,sn2006gj-20060920.43-fast_corrected.flm
2008bf,34.55,0.02460,8.7066e-16,2.5203e-17,229.3,6267.1,sn2008bf-20080403.30-fast_corrected.flm
2003ch,6.50,0.02500,7.6214e-16,1.1734e-16,163.5,6265.5,sn2003ch-20030330.16-fast_corrected.flm
1998es,9571199868881928.00,0.01060,5.8710e-16,6.1340e-32,253.5,6168.0,sn1998es-19981116.25-fast_corrected.flm
2005M,19.41,0.02200,5.1803e-16,2.6694e-17,195.5,6330.9,sn2005M-20050214.29-fast_corrected.flm
1999dq,48.40,0.01410,2.7211e-15,5.6217e-17,234.0,6211.5,sn1999dq-19990916.45-fast_corrected.flm
1998eg,4.41,0.02490,1.7409e-16,3.9445e-17,183.0,6318.0,sn1998eg-19981117.18-fast_corrected.flm
1996X,59.72,0.00680,5.8649e-14,9.8198e-16,227.9,6165.2,sn1996X-19960419.30-fast_corrected.flm
2006ac,3.54,0.02270,1.3476e-16,3.8083e-17,61.7,6318.7,sn2006ac-20060324.36-fast_corrected.flm
2001eh,16.80,0.03710,3.9518e-16,2.3525e-17,196.5,6355.5,sn2001eh-20010922.35-fast_corrected.flm
1999by,10.06,0.00220,1.5090e-15,1.5001e-16,151.5,6225.0,sn1999by-19990611.16-fast_corrected.flm
1995D,14.07,0.00670,1.0518e-15,7.4755e-17,173.5,6315.1,sn1995D-19950331.17-mmt_corrected.flm
2007ci,16.15,0.01800,3.0512e-16,1.8893e-17,213.1,6218.6,sn2007ci-20070518.20-fast_corrected.flm
1997bp,26.11,0.00830,8.3200e-16,3.1868e-17,230.8,6406.3,sn1997bp-19970610.20-fast_corrected.flm
1999dq,8.42,0.01410,5.6971e-16,6.7689e-17,198.0,6367.5,sn1999dq-19991018.49-fast_corrected.flm
2001eh,2.89,0.03710,6.3789e-17,2.2091e-17,55.5,6363.0,sn2001eh-20011017.33-fast_corrected.flm
1996X,37.61,0.00680,2.8600e-14,7.6034e-16,247.0,6162.2,sn1996X-19960414.32-fast_corrected.flm
1998ab,12.79,0.02700,4.5655e-16,3.5698e-17,232.5,6330.0,sn1998ab-19980418.28-fast_corrected.flm
2007ba,10.42,0.03850,2.5025e-16,2.4024e-17,185.2,6373.8,sn2007ba-20070409.43-fast_corrected.flm
1999dq,20.37,0.01410,7.5029e-16,3.6838e-17,199.5,6372.0,sn1999dq-19991014.32-fast_corrected.flm
1994D,16.77,0.00290,3.4550e-15,2.0604e-16,189.6,6152.1,sn1994D-19940410.26-fast_corrected.flm
2002cs,21.43,0.01580,1.0930e-15,5.0993e-17,247.5,6112.5,sn2002cs-20020508.47-fast_corrected.flm
2001az,8.57,0.04070,5.6513e-17,6.5981e-18,182.0,6564.0,sn2001az-20010618.39-mmt_corrected.flm
2005am,11.97,0.00840,9.8932e-15,8.2663e-16,191.1,6160.4,sn2005am-20050318.18-fast_corrected.flm
