filename,true_age,nuis_age,nuis_diff,SNR,Subtype
sn2003ic-20031017.23-fast.flm,23.43000000000029,-7.876837856097636,-31.30683785609793,22.84,N
sn2002do-20020704.39-fast.flm,16.989999999997963,-9.485592447604912,-26.475592447602875,32.11,N
sn2002bf-20020321.22-fast.flm,16.81999999999971,-5.948325506988009,-22.76832550698772,57.93,HV
sn2002do-20020710.33-fast.flm,22.93000000000029,4.157503959985501,-18.77249604001479,21.01,N
sn2002bf-20020315.22-fast.flm,10.819999999999707,-6.453234364782992,-17.2732343647827,63.77,HV
sn2003ic-20031002.25-fast.flm,8.44999999999709,-7.855226961536573,-16.305226961533663,24.33,N
sn2005eu-20051027.36-fast.flm,10.660000000003492,-5.357873428042816,-16.017873428046308,43.61,N
sn2001fh-20011118.07-fast.flm,7.269999999996799,-7.717199729310837,-14.987199729307637,57.11,N
sn2003ic-20031001.32-fast.flm,7.519999999996799,-7.1768866663234245,-14.696886666320223,31.05,N
sn2001fh-20011120.08-fast.flm,9.279999999998836,-5.393971396628127,-14.673971396626964,48.42,N
sn2006cj-20060529.26-fast.flm,5.760000000002037,-8.890238375881177,-14.650238375883214,19.97,N
sn2002de-20020614.19-fast.flm,5.690000000002328,-8.42133866430676,-14.111338664309088,15.04,N
sn2005eu-20051025.29-fast.flm,8.590000000003783,-4.647921853930546,-13.23792185393433,38.62,N
sn1997bp-19970414.30-fast.flm,3.8000000000029104,-9.294706963876038,-13.094706963878949,127.21,HV
sn1997bp-19970413.31-fast.flm,2.809999999997672,-9.498471145499677,-12.308471145497348,114.94,HV
sn1998bp-19980518.36-fast.flm,14.959999999999129,27.24948565579956,12.289485655800432,31.15,N
sn2003ic-20030929.35-fast.flm,5.549999999995634,-6.693668523477832,-12.243668523473467,33.48,N
sn2007cg-20070514.24-fast.flm,5.739999999997963,-6.448329159388702,-12.188329159386665,20.82,HV
sn2003ic-20030927.38-fast.flm,3.5799999999944703,-8.025520138249913,-11.605520138244383,36.73,N
sn1997bp-19970412.31-fast.flm,1.809999999997672,-9.728590335758506,-11.538590335756178,124.88,HV
sn2002bf-20020306.22-fast.flm,1.819999999999709,-9.464380963956208,-11.284380963955916,79.54,HV
sn2007cg-20070515.22-fast.flm,6.720000000001164,-4.206974579940488,-10.926974579941653,15.88,HV
sn2006ot-20061127.30-fast.flm,2.6000000000058208,-8.213920125000259,-10.81392012500608,15.21,HV
sn1997bp-19970411.30-fast.flm,0.8000000000029104,-9.976121447362988,-10.776121447365899,127.27,HV
sn1998co-19980716.41-fast.flm,22.91000000000349,33.6688021704414,10.758802170437914,24.83,N
sn2003ic-20030928.30-fast.flm,4.5,-6.233002099988752,-10.733002099988752,37.22,N
sn2002bf-20020309.25-fast.flm,4.849999999998545,-5.866089339650332,-10.716089339648878,77.22,HV
sn2002bf-20020310.24-fast.flm,5.8399999999965075,-4.739874964798993,-10.5798749647955,55.35,HV
sn1997bp-19970410.27-fast.flm,-0.2300000000032014,-10.29042052982702,-10.06042052982382,109.0,HV
sn2007ux-20080101.38-fast.flm,5.9799999999959255,-3.7107905738912783,-9.690790573887204,31.16,N
sn1997bp-19970409.29-fast.flm,-1.2099999999991269,-10.816975818066563,-9.606975818067436,100.97,HV
sn2001fh-20011115.09-fast.flm,4.289999999993597,-4.958131605574863,-9.24813160556846,81.37,N
sn1998bp-19980516.44-fast.flm,13.040000000000871,22.177762883617408,9.137762883616537,43.31,N
sn1998co-19980718.47-fast.flm,24.970000000001164,34.022256764009235,9.052256764008071,26.91,N
sn1997bp-19970407.42-mmt.flm,-3.0800000000017462,-11.685458168527662,-8.605458168525915,122.12,HV
sn2006cj-20060528.19-fast.flm,4.690000000002328,-3.617203661055732,-8.307203661058061,26.87,N
sn1997bq-19970408.14-mmt.flm,-11.760000000002035,-19.998912257308035,-8.238912257306,66.98,HV
sn2004dt-20040915.45-fast.flm,23.64999999999418,31.701594359278303,8.051594359284124,42.77,HV
sn2006cf-20060520.16-fast.flm,2.7600000000020373,-5.283226934993429,-8.043226934995467,20.98,N
sn2002do-20020619.43-fast.flm,2.029999999998836,-5.721446513639954,-7.75144651363879,57.23,N
snf20080720-001-20080729.47-fast.flm,4.669999999998254,-2.7904242250233375,-7.460424225021591,38.93,N
sn2006br-20060427.33-fast.flm,0.2300000000032014,-7.150926200632384,-7.380926200635585,17.91,HV
sn2006bq-20060427.35-fast.flm,5.44999999999709,-1.7725506807052422,-7.222550680702332,27.26,HV
sn2005eu-20051109.30-fast.flm,23.60000000000582,16.565132801248552,-7.034867198757269,19.85,N
sn2007ci-20070608.18-fast.flm,12.779999999998836,19.78608322436918,7.006083224370343,36.45,N
sn2001ay-20010421.48-fast.flm,-1.5199999999967986,-8.512100943690049,-6.99210094369325,40.96,HV
sn2006ot-20061124.23-fast.flm,-0.4699999999938882,-7.290839651026455,-6.820839651032567,19.26,HV
sn2005eu-20051009.38-fast.flm,-7.319999999999709,-13.991313482320736,-6.671313482321027,31.7,N
sn2002bo-20020310.26-fast.flm,-13.439999999995052,-19.99998645040386,-6.5599864504088075,59.43,HV
sn2002de-20020611.29-fast.flm,2.790000000000873,-3.67452453895304,-6.464524538953913,65.72,N
sn2001da-20010715.47-mmt.flm,-1.0299999999988358,-7.44748182977604,-6.417481829777204,156.81,N
sn1996bk-19961015.10-fast.flm,2.599999999998545,-3.811691927389652,-6.411691927388197,82.22,N
sn2006le-20061027.52-fast.flm,-11.880000000004657,-18.211074694589588,-6.331074694584931,26.83,N
sn2002de-20020612.29-fast.flm,3.790000000000873,-2.514759087554869,-6.304759087555742,39.01,N
sn2007ci-20070614.18-fast.flm,18.779999999998836,25.00872569802416,6.228725698025325,24.37,N
sn2002cd-20020415.49-fast.flm,-3.709999999999127,-9.890538088117928,-6.1805380881188015,43.99,HV
sn2001br-20010521.44-fast.flm,-0.4599999999991269,-6.626729175976594,-6.166729175977467,63.32,HV
sn2007hj-20070918.35-fast.flm,12.44999999999709,18.510064823858933,6.060064823861843,51.01,N
sn2002cr-20020503.29-fast.flm,-11.309999999997672,-5.342913085085973,5.9670869149116985,84.13,N
sn2006gr-20060923.22-fast.flm,-11.180000000000293,-17.1275373630457,-5.947537363045408,12.29,N
sn2004dt-20040908.49-fast.flm,16.689999999995052,10.771704180034458,-5.918295819960594,10.19,HV
sn2002cd-20020414.49-fast.flm,-4.709999999999127,-10.411459162028583,-5.701459162029456,58.66,HV
sn2002cs-20020511.44-fast.flm,-4.559999999997672,-10.223334337914242,-5.66333433791657,96.29,HV
sn2001ay-20010426.41-mmt.flm,3.4100000000034925,-2.2081029050261582,-5.618102905029651,170.64,HV
sn2007le-20071116.14-fast.flm,21.44000000000233,15.825303024455808,-5.61469697554652,85.92,HV
sn2001da-20010714.46-fast.flm,-2.040000000000873,-7.628639891594229,-5.588639891593356,72.18,N
sn2006gr-20061029.23-fast.flm,24.830000000001743,19.24508423505941,-5.584915764942334,10.78,N
sn2002cs-20020519.39-fast.flm,3.389999999999418,-2.1563344420865773,-5.546334442085995,57.08,HV
sn2007jg-20070920.46-fast.flm,-2.3400000000037835,-7.792526547752487,-5.452526547748704,36.8,HV
sn2006cj-20060521.29-fast.flm,-2.209999999999127,-7.658645442148545,-5.448645442149418,10.2,N
sn1997do-19971102.46-fast.flm,-11.639999999999418,-17.085999189558432,-5.445999189559014,73.02,HV
sn2002bf-20020320.22-fast.flm,15.819999999999707,10.377470026399005,-5.442529973600703,43.54,HV
sn2006gr-20060926.25-fast.flm,-8.150000000001455,-13.496398447009698,-5.346398447008243,37.65,N
sn2007hj-20070920.28-fast.flm,14.37999999999738,19.689855116044008,5.309855116046627,48.53,N
sn2007ci-20070612.19-fast.flm,16.790000000000873,22.08989792715885,5.2998979271579785,29.34,N
sn2006gr-20060925.23-fast.flm,-9.169999999998254,-14.423066720259053,-5.253066720260799,33.74,N
sn2001ay-20010426.34-fast.flm,3.3399999999965075,-1.864601231833941,-5.204601231830448,63.58,HV
sn2001gc-20011122.26-fast.flm,-8.639999999999418,-13.83179829941704,-5.191798299417622,33.86,HV
sn2007bm-20070423.23-fast.flm,-11.2699999999968,-6.083087649203947,5.186912350792853,48.61,N
sn2007bm-20070517.17-fast.flm,12.669999999998254,17.75147173615654,5.081471736158285,111.03,N
sn2007le-20071115.16-fast.flm,20.460000000006403,15.392508416050031,-5.067491583956372,111.0,HV
sn2002cd-20020411.48-fast.flm,-7.719999999993888,-12.774367615788323,-5.054367615794435,48.29,HV
sn2002cd-20020413.48-fast.flm,-5.719999999993888,-10.759463967035298,-5.03946396704141,54.16,HV
