age_bin,bias_dyn_mean,bias_dyn_std,count_dyn,bias_snid_mean,bias_snid_std,count_snid,bin_center_mean
"(-15, -10]",-0.9841381141904055,3.5282539218020474,26,6.840769230767675,3.379282377163985,26,-11.153076923075368
"(-10, -5]",-0.9149702192541622,2.4221953439373776,136,3.5360294117642885,2.9039556749533353,136,-7.256617647058406
"(-5, 0]",-1.2405932138165185,2.17386098133261,201,0.21393034825864707,2.0041718926094023,201,-2.35631840796014
"(0, 5]",-1.7429761133525958,2.9772350528528824,226,-1.2410398230088935,1.9936843399335966,226,2.522654867256681
"(5, 10]",-1.9185220940260215,3.6584654906559977,187,-0.8283021390375702,1.5611018341057061,187,7.361443850267516
"(10, 15]",-0.8795838646149744,3.6996741438460763,111,-0.03846846846943597,3.355197988522127,111,12.337117117118085
"(15, 20]",-0.7756809803634861,4.158641482502018,104,-0.140000000000238,2.437973951930648,104,17.507692307692544
"(20, 25]",-0.5712597864028436,4.789483543966572,52,0.5496153846145223,4.020841152627564,52,22.4609615384624
"(25, 30]",-0.41770059378808255,5.496297292811181,67,0.08649253731305065,3.60087436929257,67,27.46029850746307
"(30, 35]",-3.8105634728274542,10.308720643885822,44,-1.029204545455518,3.3032309664396595,44,32.57863636363734
"(35, 40]",-3.369008850758867,10.43956079946142,41,-2.8019512195129272,5.587323026061883,41,37.43390243902512
"(40, 45]",-0.3404302085616592,2.4718459346475936,31,-0.9693548387102504,3.4348053661341553,31,42.410645161290894
"(45, 50]",-4.65030325237155,10.488764011120278,24,-1.6747916666672238,6.885169866106456,24,47.761666666667224
