Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc
sn1997cn-19970609.21-fast.flm,8.97,1997cn,21.744689221086333,0.7867820613690009,0.0168,1.9,91bg,1.9,25.4,1.4717,3.655310778913666,1.668810025764483
sn1999by-19990513.18-fast.flm,162.82,1999by,1.9756535621664353,0.4989024146876871,0.0022,1.97,91bg,1.97,1.0,3.3174,-0.9756535621664353,3.3547051106440344
sn2007F-20070126.43-fast.flm,72.99,2007F,2.9601406799519694,0.0,0.0236,0.96,N,0.96,2.0,0.7246,-0.9601406799519694,0.7246
sn2004at-20040323.24-fast.flm,84.06,2004at,-4.65616746552092,0.7825491538687275,0.0223,1.05,N,1.05,-3.0,0.8591,1.6561674655209204,1.1620826081740754
sn2003hu-20031002.13-fast.flm,9.26,2003hu,12.120930232557058,1.9534883720930232,0.075,,91T,,,,,
sn2001V-20010427.35-fast.flm,27.36,2001V,52.75342330804418,0.3940498473056842,0.0151,0.82,91T,0.82,46.0,2.4634,-6.753423308044177,2.494717387232797
sn1994D-19940503.25-fast.flm,58.41,1994D,42.626383487885136,0.0997108385681523,0.0029,1.37,N,1.37,48.7,1.6598,6.073616512114867,1.6627923175574164
sn2001N-20010201.37-fast.flm,50.78,2001N,10.35259549461284,0.0,0.021,,HV,,8.0,0.4643,-2.3525954946128405,0.4643
sn2004as-20040422.33-fast.flm,7.99,2004as,30.969932104752953,0.5819592628516004,0.031,0.92,N,0.92,29.6,1.0278,-1.3699321047529516,1.1811221036026625
sn1998es-19981121.23-fast.flm,204.88,1998es,-4.42311498119324,0.8905600633287157,0.0106,0.85,91T,0.85,-5.25,0.6718,-0.8268850188067596,1.1155323690489873
sn2001cp-20010627.26-fast.flm,64.79,2001cp,-1.1150234741778344,0.0978090766823161,0.0224,0.88,N,0.88,-1.45,1.1118,-0.3349765258221655,1.11609401731281
sn1999ac-19990312.53-fast.flm,155.11,1999ac,-0.9608717186737632,0.6934125804853887,0.0095,1.23,91T,1.23,-1.5,2.0549,-0.5391282813262368,2.1687404217138124
sn1998V-19980319.51-fast.flm,81.39,1998V,0.3046982504471669,0.7863180656575585,0.0174,0.99,N,0.99,-0.1,1.0419,-0.4046982504471669,1.3053167088409787
sn1998bu-19980621.16-fast.flm,178.65,1998bu,32.366138199228644,0.4985541928407618,0.0029,1.03,N,1.03,34.9,0.8746,2.533861800771355,1.0067181547976096
sn2006ax-20060324.30-fast.flm,62.51,2006ax,-8.360381626831908,0.2950722927117143,0.0167,1.06,N,1.06,-3.7,1.2045,4.660381626831907,1.240116086471806
sn2007ki-20071006.50-fast.flm,12.53,2007ki,,,0.0167,,,,14.6,1.3636,,
sn2005cf-20050607.23-fast.flm,225.31,2005cf,-5.434674614996411,0.1987083954297069,0.0065,1.1,N,1.1,-4.6,1.0723,0.8346746149964117,1.0905559666584053
snf20080522-000-20080626.05-ldss3.flm,50.46,snf20080522-000,20.622009569380776,0.0956937799043062,0.045,,91T,,20.3,0.7715,-0.32200956938077496,0.7774120847480914
sn2000cf-20000523.31-fast.flm,23.01,2000cf,14.482825164024277,0.7719027402547279,0.0364,1.16,N,1.16,16.7,0.5645,2.2171748359757224,0.9562918437447628
sn2003fd-20030630.24-fast.flm,3.67,2003fd,,,0.0597,,,,-2.9,0.5412,,
sn2002cd-20020411.48-fast.flm,48.29,2002cd,-7.640538400627364,0.3958828186856691,0.0104,0.84,HV,0.84,-2.75,1.1318,4.890538400627364,1.1990389677281177
sn2002eu-20020910.40-fast.flm,16.58,2002eu,7.806476484192891,0.1927525057825751,0.0376,1.52,N,1.52,6.9,0.3434,-0.9064764841928907,0.39379828400522726
sn2007fb-20070719.48-fast.flm,30.21,2007fb,13.536345776037438,0.2946954813359528,0.018,,N,,12.51,0.3688,-1.026345776037438,0.4720793013041653
sn2006hb-20061022.39-fast.flm,29.16,2006hb,30.32601201615372,0.3939722249581404,0.0153,1.44,91bg,1.44,28.9,0.9594,-1.4260120161537202,1.0371414918122155
sn2002av-20020213.19-fast.flm,18.53,2002av,,,0.049,,,,7.7,0.263,,
sn2006cf-20060519.25-fast.flm,44.53,2006cf,1.7761136712735643,0.1920122887864823,0.0416,,N,,0.65,0.9523,-1.1261136712735644,0.971464877926641
sn1995ac-19950929.27-fast.flm,32.58,1995ac,-3.6479664729990913,0.4762358319839984,0.0499,0.77,,0.77,,,,
sn2006N-20060130.22-fast.flm,113.33,2006N,4.554865424433224,0.1971803214039239,0.0143,1.5,N,1.5,4.8,0.7647,0.24513457556677576,0.7897127130475707
sn1998dx-19980917.13-fast.flm,7.24,1998dx,1.1667615253233974,0.4742933029785619,0.0542,1.32,N,1.32,1.25,0.4942,0.08323847467660261,0.6849728295708626
sn1999by-19990522.14-fast.flm,123.19,1999by,10.915984833368915,0.4989024146876871,0.0022,1.97,91bg,1.97,35.9,2.6854,24.98401516663108,2.7313507243452286
sn2005el-20051026.50-fast.flm,35.45,2005el,22.763106030743543,0.1970831690973591,0.0148,1.27,N,1.27,28.2,1.8134,5.436893969256456,1.8240782153025834
snf20080522-000-20080609.18-fast.flm,46.89,snf20080522-000,4.47846889952181,0.0956937799043062,0.045,,91T,,2.6,1.9894,-1.8784688995218102,1.9917001931797802
sn2001ay-20010502.30-fast.flm,42.24,2001ay,9.027373325570675,0.7765482430596001,0.0302,0.68,HV,0.68,8.15,0.4552,-0.8773733255706748,0.9001301093725016
sn2007ca-20070513.21-fast.flm,35.35,2007ca,6.419485257866125,0.1972192091509713,0.0141,0.89,N,0.89,4.0,0.7854,-2.419485257866125,0.809783042831927
sn2008bf-20080415.24-fast.flm,49.28,2008bf,16.240484091352155,0.3903962521959789,0.0246,1.05,N,1.05,16.15,0.8537,-0.09048409135215607,0.9387294198695737
sn2006S-20060202.47-fast.flm,64.59,2006S,-0.7072958046661423,0.0968898362561767,0.0321,0.93,N,0.93,-3.1,1.3298,-2.3927041953338577,1.3333250467795723
sn2007le-20071204.12-fast.flm,37.47,2007le,39.15375446961217,0.4966229638458482,0.0068,1.01,HV,1.01,38.2,2.162,-0.9537544696121643,2.218305291933244
sn1995D-19950426.14-fast.flm,51.02,1995D,64.01112545942419,0.09933445912387,0.0067,1.05,N,1.05,61.2,1.2331,-2.81112545942419,1.2370945577317167
sn2007ca-20070520.22-fast.flm,65.67,2007ca,13.332018538609676,0.1972192091509713,0.0141,0.89,N,0.89,11.4,0.3915,-1.9320185386096753,0.4383693265479857
sn2002ha-20021029.13-fast.flm,73.8,2002ha,-4.209384858048181,0.5914826498422713,0.0144,1.22,N,1.22,-3.55,0.7669,0.6593848580481811,0.9684974626009275
