Method,Age Bin,Bin Center,Bias,Spread,RMSE,Count
Full Bayesian,"(-15, -10]",-12.5,4.1422840932317655,5.188189537408583,6.553950989564512,24
Full Bayesian,"(-10, -5]",-7.5,1.4805956183481068,4.066837372825813,4.311028334316413,113
Full Bayesian,"(-5, 0]",-2.5,-0.4064108382286998,2.6550970144107264,2.67863878997955,178
Full Bayesian,"(0, 5]",2.5,-1.9319898015824013,2.5224501781531012,3.172589872622324,212
Full Bayesian,"(5, 10]",7.5,-3.3785585379508465,3.9323830083611573,5.176089729726478,179
Full Bayesian,"(10, 15]",12.5,-4.638888317747888,5.644820432464915,7.284977035300293,102
Full Bayesian,"(15, 20]",17.5,-5.196494675527464,7.434259912946854,9.034883709258978,86
Full Bayesian,"(20, 25]",22.5,-5.3291833383158895,6.724866169432253,8.52296271373948,46
Nuisance Bayesian,"(-15, -10]",-12.5,-2.0619823867830784,3.8425667279802465,4.289739944906558,24
Nuisance Bayesian,"(-10, -5]",-7.5,-1.0310922000428777,2.5243764403745144,2.716474542699497,113
Nuisance Bayesian,"(-5, 0]",-2.5,-1.3642764158222362,2.349890250141328,2.7114962554650566,178
Nuisance Bayesian,"(0, 5]",2.5,-1.6886426057695978,3.0277413035785616,3.460562043931582,212
Nuisance Bayesian,"(5, 10]",7.5,-1.6845189760736705,3.37936844709372,3.7674839968969134,179
Nuisance Bayesian,"(10, 15]",12.5,-0.7282910943795025,3.38911075980413,3.450198706434207,102
Nuisance Bayesian,"(15, 20]",17.5,-0.8692334300846571,4.483290656612225,4.54111684027646,86
Nuisance Bayesian,"(20, 25]",22.5,-1.1870823055597421,4.5949906201080575,4.697244354886508,46
SNID (Bootstrap),"(-15, -10]",-12.5,7.122083333331758,3.312828463342636,7.82570244450775,24
SNID (Bootstrap),"(-10, -5]",-7.5,4.16026548672545,2.828434688309488,5.023649556573078,113
SNID (Bootstrap),"(-5, 0]",-2.5,0.3269943820224016,2.0429934929897264,2.0633223930722706,178
SNID (Bootstrap),"(0, 5]",2.5,-1.1828066037736604,2.041826910645802,2.3555091235511867,212
SNID (Bootstrap),"(5, 10]",7.5,-0.849567039106181,1.5384739953100774,1.753694235227808,179
SNID (Bootstrap),"(10, 15]",12.5,0.08862745097961038,3.4489596764729056,3.4331555255695827,102
SNID (Bootstrap),"(15, 20]",17.5,-0.09918604651172629,2.593238477324009,2.5800246753823033,86
SNID (Bootstrap),"(20, 25]",22.5,0.3808695652165306,3.9546482220783674,3.929926290934011,46
