age_bin,bias,spread,rmse,mad,coverage_1sigma,coverage_2sigma,chi2_red,count,Method,bin_center
"(-15, -10]",4.136085963712396,4.821572106855095,6.286850942021219,4.965010552299159,0.0,0.0,235302.065135332,28.0,Full Bayesian,-12.5
"(-10, -5]",1.2334302848791978,3.7817184170056413,3.9647334288672447,2.651373638982099,0.014492753623188406,0.021739130434782608,1.0077761857639089e+18,138.0,Full Bayesian,-7.5
"(-5, 0]",-0.5224309233179106,2.583332722486848,2.6295355808735437,1.996403867929689,0.009615384615384616,0.02403846153846154,113403.3999909172,208.0,Full Bayesian,-2.5
"(0, 5]",-2.032060113330761,2.4970469385568625,3.215201287916079,1.9075739007416592,0.017316017316017316,0.025974025974025976,68369.06387342486,231.0,Full Bayesian,2.5
"(5, 10]",-3.536786201532754,4.067303652354089,5.382016427170354,2.0673497416585094,0.0051813471502590676,0.025906735751295335,365107.75607019017,193.0,Full Bayesian,7.5
"(10, 15]",-4.863908662357538,5.799287924093157,7.549286183528591,3.338166242581652,0.0,0.008849557522123894,991385.1377445803,113.0,Full Bayesian,12.5
"(15, 20]",-5.194772484983667,7.510983884032518,9.102641886739594,3.756751917124282,0.0,0.0,944503.4200568543,104.0,Full Bayesian,17.5
"(20, 25]",-4.975716739167444,7.452675440145682,8.903458084062226,5.963508279412521,0.018518518518518517,0.018518518518518517,635879.3704561479,54.0,Full Bayesian,22.5
"(25, 30]",-6.167048722614993,10.272420739027506,11.917457964673458,3.78324675350483,0.043478260869565216,0.057971014492753624,2881622.3986002514,69.0,Full Bayesian,27.5
"(-15, -10]",-1.5154911210842923,3.810433156702213,4.037024170068884,3.3845212192258356,0.0,0.0,7909788257.032613,28.0,Nuisance Bayesian,-12.5
"(-10, -5]",-0.9207503893595621,2.34741406047453,2.5136037790935855,1.7124309743042412,0.021739130434782608,0.036231884057971016,8604477418528132.0,138.0,Nuisance Bayesian,-7.5
"(-5, 0]",-1.3001642879110138,2.251871368191093,2.5955678355540237,1.3540026441599138,0.009615384615384616,0.02403846153846154,12830.074773468863,208.0,Nuisance Bayesian,-2.5
"(0, 5]",-1.7854270134817003,2.9641352977841535,3.454824543661788,1.5772245059116496,0.012987012987012988,0.025974025974025976,30392.842842595015,231.0,Nuisance Bayesian,2.5
"(5, 10]",-1.8841964305317562,3.620715783219152,4.073309916061859,1.0417333386984087,0.015544041450777202,0.031088082901554404,8466.08249292578,193.0,Nuisance Bayesian,7.5
"(10, 15]",-0.9065306434229163,3.671857520560656,3.7663007004583764,1.249400962596166,0.0,0.02654867256637168,16109.275468103664,113.0,Nuisance Bayesian,12.5
"(15, 20]",-0.7761061213153115,4.15797828849597,4.210093331122978,1.7577284521457557,0.0,0.0,13650.98933525427,104.0,Nuisance Bayesian,17.5
"(20, 25]",-0.7008057084796043,4.748080511007637,4.7558291312474665,2.856273525745216,0.018518518518518517,0.018518518518518517,23377.335701334414,54.0,Nuisance Bayesian,22.5
"(25, 30]",-0.4756174025851576,5.540298605664516,5.520531387934072,2.244361074138432,0.043478260869565216,0.057971014492753624,24161.930650737777,69.0,Nuisance Bayesian,27.5
"(-15, -10]",6.636785714284209,3.3642772638314047,7.4135726157196284,6.474999999997818,0.0,0.0,64.26460032675867,28.0,SNID (Bootstrap),-12.5
"(-10, -5]",3.5693478260865854,2.8988056832228573,4.591560350172368,3.1499999999985446,0.21014492753623187,0.41304347826086957,21.466490421123986,138.0,SNID (Bootstrap),-7.5
"(-5, 0]",0.18293269230759995,2.009535614701401,2.013028358736678,1.1450000000040745,0.4230769230769231,0.6778846153846154,4.937388256658492,208.0,SNID (Bootstrap),-2.5
"(0, 5]",-1.2460822510823053,1.9862335773117799,2.3411036589591876,1.6000000000043655,0.2727272727272727,0.6017316017316018,5.906274112355367,231.0,SNID (Bootstrap),2.5
"(5, 10]",-0.8359715025908502,1.5405758513010241,1.7492641402557916,0.8200000000026195,0.25906735751295334,0.538860103626943,8.945927957246315,193.0,SNID (Bootstrap),7.5
"(10, 15]",-0.063716814160245,3.330551339142732,3.316393779260747,1.110000000006405,0.1415929203539823,0.3185840707964602,17.368576833842702,113.0,SNID (Bootstrap),12.5
"(15, 20]",-0.1400000000002381,2.437973951930647,2.430260452170867,1.4500000000007276,0.27884615384615385,0.5192307692307693,8.745410025402013,104.0,SNID (Bootstrap),17.5
"(20, 25]",0.4435185185176558,3.9867468685625007,3.9744840103024726,3.03999999999869,0.16666666666666666,0.42592592592592593,10.163979119327792,54.0,SNID (Bootstrap),22.5
"(25, 30]",0.3580434782604437,4.179863160702512,4.164882299083087,2.720000000001164,0.21739130434782608,0.4782608695652174,7.9032940736035995,69.0,SNID (Bootstrap),27.5
